0,I-80 WB Driving Deck,T77N,2,R34W,Adair,RDAI4,41.496333,-94.7263,1475,CASS,I-80,72,554602,Adair,4,15,0,-06:00,12
0,I-80 EB Driving Deck,T77N,2,R34W,Adair,RDAI4,41.496333,-94.7263,1475,CASS,I-80,72,554602,Adair,4,15,1,-06:00,10
0,I-80 EB Approach,T77N,2,R34W,Adair,RDAI4,41.496333,-94.7263,1475,CASS,I-80,72,554602,Adair,4,15,2,-06:00,20
0,I-80 EB Passing Deck,T77N,2,R34W,Adair,RDAI4,41.496333,-94.7263,1475,CASS,I-80,72,554602,Adair,4,15,3,-06:00,11
1,US 18 EB Driving Pavement,T95N,4,R30W,Algona,RALI4,43.083,-94.3985,1106,KOSSUTH,US 18,121.8,552655,Algona,2,55,0,-06:00,21
1,US 18 WB Driving Pavement,T95N,4,R30W,Algona,RALI4,43.083,-94.3985,1106,KOSSUTH,US 18,121.8,552655,Algona,2,55,1,-06:00,20
2,IA 10 EB Driving Deck,T95N,31,R44W,Alton,RTNI4,42.997833,-96.0843,1410,SIOUX,IA 10,24.3,553808,Alton,3,84,0,-06:00,199
2,IA 10 WB Driving Pavement,T95N,31,R44W,Alton,RTNI4,42.997833,-96.0843,1410,SIOUX,IA 10,24.3,553808,Alton,3,84,1,-06:00,20
3,I-80 EB Driving Pavement,T79N,10,R23W,Altoona,RTOI4,41.659667,-93.5222,858,POLK,I-80,84.1,551806,Altoona,1,77,0,-06:00,21
3,I-80 WB Driving Pavement,T79N,10,R23W,Altoona,RTOI4,41.659667,-93.5222,858,POLK,I-80,84.1,551806,Altoona,1,77,1,-06:00,20
3,US 65 SB Driving Deck,T79N,10,R23W,Altoona,RTOI4,41.659667,-93.5222,858,POLK,US 65,84.1,551806,Altoona,1,77,2,-06:00,10
3,US 65 SB Driving Pavement,T79N,10,R23W,Altoona,RTOI4,41.659667,-93.5222,858,POLK,US 65,84.1,551806,Altoona,1,77,3,-06:00,22
4,I-35 NB Driving Deck,T83N,6,R23W,Ames,RAMI4,42.034,-93.5702,1027,STORY,I-35,113.55,551602,Ames,1,85,0,-06:00,11
4,I-35 NB Driving Pavement,T83N,6,R23W,Ames,RAMI4,42.034,-93.5702,1027,STORY,I-35,113.55,551602,Ames,1,85,1,-06:00,20
4,I-35 SB Passing Deck,T83N,6,R23W,Ames,RAMI4,42.034,-93.5702,1027,STORY,I-35,113.55,551602,Ames,1,85,2,-06:00,10
5,I-35 NB Driving Pavement,T80N,6,R23W,Ankeny,RAKI4,41.7608,-93.5697,865,POLK,I-35,94.75,551807,Des Moines North,1,77,0,-06:00,20
5,I-35 NB Passing Deck,T80N,6,R23W,Ankeny,RAKI4,41.7608,-93.5697,865,POLK,I-35,94.75,551807,Des Moines North,1,77,1,-06:00,10
5,I-35 SB Driving Pavement,T80N,6,R23W,Ankeny,RAKI4,41.7608,-93.5697,865,POLK,I-35,94.75,551807,Des Moines North,1,77,2,-06:00,21
5,I-35 SB Passing Deck,T80N,6,R23W,Ankeny,RAKI4,41.7608,-93.5697,865,POLK,I-35,94.75,551807,Des Moines North,1,77,3,-06:00,199
6,I-80 EB Driving Pavement,T77N,2,R39W,Avoca,RAVI4,41.498167,-95.2915,1238,POTTAWATTAMIE,I-80,42.6,554802,Avoca,4,78,0,-06:00,20
6,I-80 EB Passing Deck,T77N,2,R39W,Avoca,RAVI4,41.498167,-95.2915,1238,POTTAWATTAMIE,I-80,42.6,554802,Avoca,4,78,1,-06:00,10
6,I-80 WB Driving Deck,T77N,2,R39W,Avoca,RAVI4,41.498167,-95.2915,1238,POTTAWATTAMIE,I-80,42.6,554802,Avoca,4,78,2,-06:00,11
7,US 34 EB Center Deck,T70N,33,R02W,Burlington,RBUI4,40.813,-91.0992,715,DES MOINES,US 34,263.5,555829,Burlington,5,29,0,-06:00,11
7,US 34 Ramp A Driving Deck,T70N,33,R02W,Burlington,RBUI4,40.813,-91.0992,715,DES MOINES,US 34,263.5,555829,Burlington,5,29,1,-06:00,12
7,US 34 WB Driving Deck,T70N,33,R02W,Burlington,RBUI4,40.813,-91.0992,715,DES MOINES,US 34,263.5,555829,Burlington,5,29,2,-06:00,10
8,US 30 EB Driving Deck,T84N,14,R35W,Carroll,RCAI4,42.0785,-94.8975,1275,CARROLL,US 30,80,553613,Carroll,3,14,0,-06:00,11
8,US 30 WB Driving Deck,T84N,14,R35W,Carroll,RCAI4,42.0785,-94.8975,1275,CARROLL,US 30,80,553613,Carroll,3,14,1,-06:00,10
8,US 30 WB Driving Pavement,T84N,14,R35W,Carroll,RCAI4,42.0785,-94.8975,1275,CARROLL,US 30,80,553613,Carroll,3,14,2,-06:00,20
9,I-380 NB Center Deck,T83N,21,R07W,Cedar Rapids I-380,RCDI4,41.978,-91.6745,773,LINN,I-380,19.95,556608,Cedar Rapids,6,57,0,-06:00,11
9,I-380 SB Center Deck,T83N,21,R07W,Cedar Rapids I-380,RCDI4,41.978,-91.6745,773,LINN,I-380,19.95,556608,Cedar Rapids,6,57,1,-06:00,10
9,I-380 NB Driving Pavement,T83N,21,R07W,Cedar Rapids I-380,RCDI4,41.978,-91.6745,773,LINN,I-380,19.95,556608,Cedar Rapids,6,57,2,-06:00,20
9,I-380 Ramp D-4 Driving Pavement,T83N,21,R07W,Cedar Rapids I-380,RCDI4,41.978,-91.6745,773,LINN,I-380,19.95,556608,Cedar Rapids,6,57,3,-06:00,21
10,US 30 EB Driving Deck,T82N,8,R07W,Cedar Rapids US 30,RCII4,41.93,-91.6838,807,LINN,US 30,252,556608,Cedar Rapids,6,57,0,-06:00,10
10,US 30 EB Driving Pavement,T82N,8,R07W,Cedar Rapids US 30,RCII4,41.93,-91.6838,807,LINN,US 30,252,556608,Cedar Rapids,6,57,1,-06:00,20
10,US 30 EB Passing Deck,T82N,8,R07W,Cedar Rapids US 30,RCII4,41.93,-91.6838,807,LINN,US 30,252,556608,Cedar Rapids,6,57,2,-06:00,11
10,US 30 WB Driving Deck,T82N,8,R07W,Cedar Rapids US 30,RCII4,41.93,-91.6838,807,LINN,US 30,252,556608,Cedar Rapids,6,57,3,-06:00,199
11,IA 2 EB Driving Deck,T69N,26,R19W,Centerville,RCNI4,40.739667,-93.0027,968,APPANOOSE,IA 2,164.3,555604,Centerville,5,4,0,-06:00,10
11,IA 2 WB Driving Pavement,T69N,26,R19W,Centerville,RCNI4,40.739667,-93.0027,968,APPANOOSE,IA 2,164.3,555604,Centerville,5,4,1,-06:00,20
12,I-80 WB Bridge Deck,T74N,10,R44W,Council Bluffs,,41.2325,-95.8959,,POTTAWATTAMIE,I-80,,554803,Council Bluffs North,1,78,0,-06:00,10
13,US 34 EB Driving Pavement,T72N,9,R30W,Creston,RCEI4,41.049833,-94.308,1274,UNION,US 34,87,554607,Creston,4,88,0,-06:00,20
13,US 34 WB Driving Deck,T72N,9,R30W,Creston,RCEI4,41.049833,-94.308,1274,UNION,US 34,87,554607,Creston,4,88,1,-06:00,10
14,I-280 EB Driving Pavement,T79N,36,R02E,Davenport,RDVI4,41.602333,-90.6777,676,SCOTT,I-280,289.9,556812,Davenport,6,82,0,-06:00,22
14,I-80 EB Driving Pavement,T79N,36,R02E,Davenport,RDVI4,41.602333,-90.6777,676,SCOTT,I-80,289.9,556812,Davenport,6,82,1,-06:00,20
14,I-80 Lane B Passing Deck,T79N,36,R02E,Davenport,RDVI4,41.602333,-90.6777,676,SCOTT,I-80,289.9,556812,Davenport,6,82,2,-06:00,10
14,I-80 WB Passing Pavement,T79N,36,R02E,Davenport,RDVI4,41.602333,-90.6777,676,SCOTT,I-80,289.9,556812,Davenport,6,82,3,-06:00,21
15,IA 9 EB Driving Deck,T97N,5,R07W,Decorah,RDCI4,43.2455,-91.6997,1017,WINNESHIEK,IA 9,265.2,552896,Decorah,2,96,0,-06:00,10
15,IA 9 WB Driving Pavement,T97N,5,R07W,Decorah,RDCI4,43.2455,-91.6997,1017,WINNESHIEK,IA 9,265.2,552896,Decorah,2,96,1,-06:00,20
16,I-35 NB Driving Pavement,T78N,30,R25W,Des Moines I-35,RDSI4,41.5239,-93.7741,735,POLK,I-35,68.2,551808,Grimes,1,77,0,-06:00,21
16,I-35 SB Driving Pavement,T78N,30,R25W,Des Moines I-35,RDSI4,41.5239,-93.7741,735,POLK,I-35,68.2,551808,Grimes,1,77,1,-06:00,20
16,IA 5 NB Driving Deck,T78N,30,R25W,Des Moines I-35,RDSI4,41.5239,-93.7741,735,POLK,IA 5,68.2,551808,Grimes,1,77,2,-06:00,11
16,IA 5 SB Driving Deck,T78N,30,R25W,Des Moines I-35,RDSI4,41.5239,-93.7741,735,POLK,IA 5,68.2,551808,Grimes,1,77,3,-06:00,10
17,I-235 WB Driving Deck,T78N,3,R24W,Des Moines I-235,RDMI4,41.595667,-93.6113,833,POLK,I-235,9.05,551807,Des Moines North,1,77,0,-06:00,10
17,I-235 WB Driving Pavement,T78N,3,R24W,Des Moines I-235,RDMI4,41.595667,-93.6113,833,POLK,I-235,9.05,551807,Des Moines North,1,77,1,-06:00,20
18,I-80 EB Driving Deck,T78N,19,R27W,De Soto,RDEI4,41.5415,-94.0112,956,DALLAS,I-80,110.2,554608,De Soto,4,25,0,-06:00,11
18,I-80 WB Driving Deck,T78N,19,R27W,De Soto,RDEI4,41.5415,-94.0112,956,DALLAS,I-80,110.2,554608,De Soto,4,25,1,-06:00,12
18,I-80 WB Passing Deck,T78N,19,R27W,De Soto,RDEI4,41.5415,-94.0112,956,DALLAS,I-80,110.2,554608,De Soto,4,25,2,-06:00,10
18,US 169 NB Driving Pavement,T78N,19,R27W,De Soto,RDEI4,41.5415,-94.0112,956,DALLAS,US 169,110.2,554608,De Soto,4,25,3,-06:00,20
19,US 30 WB Driving Pavement,T81N,14,R03E,De Witt,RDWI4,41.826167,-90.5705,789,CLINTON,US 30,139.75,556804,De Witt,6,23,0,-06:00,21
19,US 61 NB Driving Deck,T81N,14,R03E,De Witt,RDWI4,41.826167,-90.5705,789,CLINTON,US 61,139.75,556804,De Witt,6,23,1,-06:00,199
19,US 61 SB Driving Pavement,T81N,14,R03E,De Witt,RDWI4,41.826167,-90.5705,789,CLINTON,US 61,139.75,556804,De Witt,6,23,2,-06:00,20
19,US 61 SB Passing Deck,T81N,14,R03E,De Witt,RDWI4,41.826167,-90.5705,789,CLINTON,US 61,139.75,556804,De Witt,6,23,3,-06:00,199
20,US 20 EB Driving Deck,T89N,28,R02E,Dubuque,RDBI4,42.490333,-90.731,819,DUBUQUE,US 20,316.25,556806,Dubuque,6,31,0,-06:00,11
20,US 20 WB Driving Deck,T89N,28,R02E,Dubuque,RDBI4,42.490333,-90.731,819,DUBUQUE,US 20,316.25,556806,Dubuque,6,31,1,-06:00,10
20,US 20 WB Passing Pavement,T89N,28,R02E,Dubuque,RDBI4,42.490333,-90.731,819,DUBUQUE,US 20,316.25,556806,Dubuque,6,31,2,-06:00,20
21,US 20 EB Passing Deck,T88N,12,R29W,Fort Dodge,RFDI4,42.446333,-94.1835,938,WEBSTER,US 20,121.55,551611,Fort Dodge,1,94,0,-06:00,10
21,US 20 WB Driving Deck,T88N,12,R29W,Fort Dodge,RFDI4,42.446333,-94.1835,938,WEBSTER,US 20,121.55,551611,Fort Dodge,1,94,1,-06:00,11
21,US 20 WB Driving Pavement,T88N,12,R29W,Fort Dodge,RFDI4,42.446333,-94.1835,938,WEBSTER,US 20,121.55,551611,Fort Dodge,1,94,2,-06:00,20
22,I-80 EB Driving Deck,T80N,33,R16W,Grinnell,RGRI4,41.6975,-92.7257,922,POWESHIEK,I-80,182.75,551803,Grinnell,1,79,0,-06:00,199
22,I-80 WB Driving Deck,T80N,33,R16W,Grinnell,RGRI4,41.6975,-92.7257,922,POWESHIEK,I-80,182.75,551803,Grinnell,1,79,1,-06:00,199
22,I-80 WB Driving Pavement,T80N,33,R16W,Grinnell,RGRI4,41.6975,-92.7257,922,POWESHIEK,I-80,182.75,551803,Grinnell,1,79,2,-06:00,299
22,I-80 WB Passing Deck,T80N,33,R16W,Grinnell,RGRI4,41.6975,-92.7257,922,POWESHIEK,I-80,182.75,551803,Grinnell,1,79,3,-06:00,199
23,US 218 NB Driving Deck,T79N,7,R06W,Iowa City US 218,RIAI4,41.6575,-91.5988,833,JOHNSON,US 218,93.7,556607,Coralville,6,52,0,-06:00,11
23,US 218 SB Driving Pavement,T79N,7,R06W,Iowa City US 218,RIAI4,41.6575,-91.5988,833,JOHNSON,US 218,93.7,556607,Coralville,6,52,1,-06:00,20
23,US 218 SB Passing Deck,T79N,7,R06W,Iowa City US 218,RIAI4,41.6575,-91.5988,833,JOHNSON,US 218,93.7,556607,Coralville,6,52,2,-06:00,10
24,I-80 EB Driving Deck,T80N,31,R06W,Iowa City I-80,RIOI4,41.6891,-91.5812,819,JOHNSON,I-80,242.15,556607,Coralville,6,52,0,-06:00,199
24,I-80 WB Driving Pavement,T80N,31,R06W,Iowa City I-80,RIOI4,41.6891,-91.5812,819,JOHNSON,I-80,242.15,556607,Coralville,6,52,1,-06:00,20
24,I-80 WB Passing Deck,T80N,31,R06W,Iowa City I-80,RIOI4,41.6891,-91.5812,819,JOHNSON,I-80,242.15,556607,Coralville,6,52,2,-06:00,10
25,IA 4 NB Driving Pavement,T84N,30,R30W,Jefferson,RJFI4,42.051833,-94.3783,1016,GREENE,IA 4,25.1,551613,Jefferson,1,37,0,-06:00,20
25,IA 4 SB Driving Deck,T84N,30,R30W,Jefferson,RJFI4,42.051833,-94.3783,1016,GREENE,IA 4,25.1,551613,Jefferson,1,37,1,-06:00,10
26,I-35 NB Driving Pavement,T69N,34,R26W,Leon,RLEI4,40.738667,-93.8417,1145,DECATUR,I-35,119.2,555627,Leon,5,27,0,-06:00,21
26,I-35 SB Passing Pavement,T69N,34,R26W,Leon,RLEI4,40.738667,-93.8417,1145,DECATUR,I-35,119.2,555627,Leon,5,27,1,-06:00,20
26,IA 2 EB Driving Deck,T69N,34,R26W,Leon,RLEI4,40.738667,-93.8417,1145,DECATUR,IA 2,119.2,555627,Leon,5,27,2,-06:00,10
27,US 20 EB Driving Deck,T89N,33,R05W,Manchester,RMNI4,42.471,-91.4473,1013,DELAWARE,US 20,276.95,556605,Manchester,6,28,0,-06:00,11
27,US 20 EB Passing Pavement,T89N,33,R05W,Manchester,RMNI4,42.471,-91.4473,1013,DELAWARE,US 20,276.95,556605,Manchester,6,28,1,-06:00,299
27,US 20 WB Driving Pavement,T89N,33,R05W,Manchester,RMNI4,42.471,-91.4473,1013,DELAWARE,US 20,276.95,556605,Manchester,6,28,2,-06:00,20
27,US 20 WB Passing Deck,T89N,33,R05W,Manchester,RMNI4,42.471,-91.4473,1013,DELAWARE,US 20,276.95,556605,Manchester,6,28,3,-06:00,10
28,US 61 NB Driving Deck,T84N,24,R02E,Maquoketa,RMQI4,42.0685,-90.6835,824,JACKSON,US 61,158.95,556808,Maquoketa,6,49,0,-06:00,11
28,US 61 SB Driving Pavement,T84N,24,R02E,Maquoketa,RMQI4,42.0685,-90.6835,824,JACKSON,US 61,158.95,556808,Maquoketa,6,49,1,-06:00,20
28,US 61 SB Passing Deck,T84N,24,R02E,Maquoketa,RMQI4,42.0685,-90.6835,824,JACKSON,US 61,158.95,556808,Maquoketa,6,49,2,-06:00,10
28,US 64 EB Passing Pavement,T84N,24,R02E,Maquoketa,RMQI4,42.0685,-90.6835,824,JACKSON,US 64,158.95,556808,Maquoketa,6,49,3,-06:00,21
29,US 30 EB Driving Deck,T83N,17,R18W,Marshalltown,RMTI4,42.003667,-92.9617,955,MARSHALL,US 30,182.8,551604,Marshalltown,1,64,0,-06:00,11
29,US 30 WB Driving Pavement,T83N,17,R18W,Marshalltown,RMTI4,42.003667,-92.9617,955,MARSHALL,US 30,182.8,551604,Marshalltown,1,64,1,-06:00,20
29,US 30 WB Passing Deck,T83N,17,R18W,Marshalltown,RMTI4,42.003667,-92.9617,955,MARSHALL,US 30,182.8,551604,Marshalltown,1,64,2,-06:00,10
